development_name,status,total_units,conversion_date,bbls
1010 EAST 178TH STREET,Under Construction,220,2025-06-24,2031300100
104-14 TAPSCOTT STREET,Under Construction,30,2023-11-28,3035320030
335 EAST 111TH STREET,Construction Complete,66,2020-11-30,1016830018
572 WARREN STREET,Construction Complete,200,2020-02-12,3004010001
AUDUBON,Under Construction,167,2023-01-10,1020680046|1021070059|1021160033
BAY VIEW,Under Construction,1610,2025-12-23,3083290225
BAYCHESTER,Construction Complete,441,2018-12-27,2049050360
BELMONT-SUTTER AREA,Under Construction,72,2021-12-28,3040290001
BETANCES I,Construction Complete,309,2018-11-16,2022690100
BOSTON SECOR,Under Construction,538,2024-09-26,2052630070|2052630040
BUSHWICK II (GROUPS A & C),Construction Complete,300,2019-07-18,3032740002|3033250001|3033340001|3033410001|3031700026|3030720001|3032740101|3033300019|3032940016
CAMPOS PLAZA II,Under Construction,224,2026-02-05,1003960010
EAGLE AVENUE-EAST 163RD STREET,Under Construction,66,2023-09-28,2026200036
EASTCHESTER GARDENS,Under Construction,877,2025-03-27,2045810001
EDENWALD,Under Construction,2035,2023-06-27,2049050003|2049050001
FRANKLIN AVENUE I CONVENTIONAL,Construction Complete,60,2018-11-30,2029310070|2029310068|2029310066
HARLEM RIVER,Under Construction,577,2022-02-17,1020370011|1020160060
LINDEN,Construction Complete,1586,2021-12-28,3050840084|3050850083|3050840061|3050840097|3050830071|3048530093|3048530086|3050850090|3048680034|3048710052|3050880021|3050870014|3050880006|3050830086|3043690001
MANHATTANVILLE,Under Construction,1272,2024-12-12,1019840001
METRO NORTH PLAZA,Under Construction,275,2025-09-25,1016730006
MORRIS PARK SENIOR CITIZENS HOME,Under Construction,97,2025-12-18,1017490010
OCEAN BAY APARTMENTS (BAYSIDE),Construction Complete,1395,2016-12-31,4160010002|4160020001
OCEAN HILL APARTMENTS,Under Construction,236,2025-09-25,3015290001|3015280033
SACK WERN,Under Construction,411,2024-06-26,2035930001|2035940001|2035980017
SAMUEL (CITY),Under Construction,664,2024-09-26,1020150005|1020130014|1020130016|1020130018|1020130022|1020130024|1020130026|1020120025|1020120063|1020120061|1020120064|1020120003|1020120001|1020120006|1020120008|1020120058|1020120011|1020120056|1020120052|1020120014|1020120015|1020120018|1020120020|1020110061|1020110063|1020110001|1020110011|1020110013|1020110014|1020110015|1020110022|1020110033|1020110031|1020090063|1020090064|1020090044|1020070045|1020070043
TWIN PARKS WEST (SITES 1 & 2),Construction Complete,312,2018-10-31,2031430155
WEST BRIGHTON I,Under Construction,490,2024-06-26,5001960001
WILLIAMSBURG,Construction Complete,1621,2021-12-28,3030270001|3030240001|3030260001|3030250046
